room_id,headline,subheading,price,pictures
1175131,Habitación en Vila de Gràcia,PRIVATE ROOM · 3 FLATMATES,€500/month,"['https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_597c9884-389a-49b9-ae76-b83ae812d527.jpg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_1ce6d736-d3b8-4add-a5a4-d2f49ce049dc.jpg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_817006ca-e987-4273-a375-3f5f7d0604d9.jpg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_00ea7811-9317-4f28-a210-e88a5c78d42d.jpg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_134613d3-5c35-4996-b9aa-d1ac3681f79e.jpg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_ff012a7c-eb87-493a-aea7-f1955c9660fc.jpg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_1339054b-9269-4d67-89f2-adb19b74f235.jpg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_55da2b86-cefe-414f-a61a-0cec47c806ed.jpg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_2fb9bb01-bfe9-4062-a565-c57850955cd2.jpg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_32c1afdb-069e-4d68-bfa3-11a22512f8d8.jpg']"
1107145,Habitación Simple a pasos de la Sagrada Familia,PRIVATE ROOM · NO FLATMATES,€̶6̶5̶0̶ €625/month,"['https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_2af9c42d-3c91-4b3c-a2e6-8ad4d00f7736.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_9a8fbca4-ccd7-4899-b78c-0fe17048f63d.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_dd53ebf1-30ad-413f-848a-bfcf539c2296.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_95b6cca4-d40f-47ee-98f8-1fc6e09ba470.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_70d78b95-81fb-4411-afff-38b58396854f.jpeg']"
1169916,Excelente localización. A estrenar. Comoda y completa.,PRIVATE ROOM · 3 FLATMATES,€580/month,"['https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_0cc7957a-553e-42e4-b9cb-060bae994b95.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_bea08f99-8510-4d4d-9b9c-01ab9e0bd46d.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_1c3477b2-7801-4f76-8df2-0167a3b6e571.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_0bfa254d-f644-467d-ae29-b460cbd4c023.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_5e8dc363-7ce0-4348-a1ef-0838a62b9562.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_c2f9ab23-6a3a-4101-a4d8-5951996a66eb.jpeg']"
807805,habitacion disponible barrio de gracia (fontana),PRIVATE ROOM · 3 FLATMATES,€445/month,"['https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_3d18fe3c-4161-4c9d-bee8-cea89ddce790.jpg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_4ca20a11-aed5-40f6-b6ee-3587d039afe9.jpg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_c5edae71-41bd-4f25-b45e-9411352cd126.jpg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_a2da29a6-f221-49ec-abca-e0acf480d074.jpg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_81336739-0966-4aa3-8b24-b88e55262e3e.jpg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_6cd76d40-7d9b-4113-afa1-dc70a7d38955.jpg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_527e075a-bfa8-432d-a6db-c6db7b01bafd.jpg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_af975478-7db9-4c6e-a864-ab3a15b91498.jpg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_d5a8725c-ada3-48ee-b78a-6627d7e47242.jpg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_d8f5cad6-c465-4f2a-91fd-4511a4cb9740.jpg']"
1130639,Bright room with private bathroom Center of the City ,PRIVATE ROOM · 1 FLATMATE,€850/month,"['https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_cc5f8838-96e7-47f5-bd0f-918b50e9e5b7.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_70f9dbec-debf-4c78-9b1a-aad9daa61ad8.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_3eb6e4c9-0b39-48b9-9b3b-34a8bfe67a6b.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_332eaf89-a2f6-411d-9fb5-94112df9bf18.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_83db51a3-1453-40f4-b459-98b77facc9f7.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_f064a643-12ad-4a67-9664-34d5da259fda.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_e8c0734a-d807-4b0e-86c6-efbe6225a3e7.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_8c9da1e4-317c-4c42-b3e0-3e7bf859ca85.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_50c0cb91-b8e0-4a6f-a3dc-eb2854094e4a.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_365380e7-9957-4163-9813-a2f5c55a929f.jpeg']"
1153504,Habitación doble en piso a compartir con una persona,PRIVATE ROOM · 1 FLATMATE,€550/month,"['https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_df5eca0f-b3ad-4e7c-b4a4-d0f18e6a5d00.jpg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_a42d571e-dbb8-4a86-aaba-6370b3a3b5a3.jpg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_cc13efdf-8700-4b24-bf97-373f2d1f1f79.jpg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_012954e3-d3e1-4d67-9de7-2213aac5b614.jpg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_973f0417-60cd-4031-9e3a-397abcdfff76.jpg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_2a18b306-08ab-43ed-8d55-fba5a2a30c2b.jpg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_c67dcce0-06e2-490d-9c65-487833cb9c89.jpg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_f2dfe0c7-064f-41a6-8a71-9babd3a64d40.jpg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_8316239e-0fdc-4947-a84e-bad1c2e3e436.jpg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_78b52b06-1c30-47aa-bff3-1848835f5957.jpg']"
1172530,ROOM FALGUERA at CASA SUNA,PRIVATE ROOM · 4 FLATMATES,€975/month,"['https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_0c7fa49f-3aad-480a-95b4-605bc6c791d9.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_0cb8e58a-20b8-4007-9782-89bfddeed27b.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_191d73b9-a497-40b5-b6eb-568200361e12.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_671d9378-6a0e-469e-bfd0-3bfab51a2713.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_2dd77063-8fea-4bd4-98e9-442ed88a6576.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_778f0477-3a7c-45e2-ba23-f33e3409e236.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_0fa2a3eb-8c42-4547-8316-0a0eb2b5e8b5.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_d8225d59-2ce2-4ea2-9898-66a75154523f.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_3659c909-32cc-4bb8-94d3-1291cf54b0c0.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_7b06fc26-0791-4346-bd49-a89c27857142.jpeg']"
1172527,ROOM MICO at CASA SUNA,PRIVATE ROOM · 4 FLATMATES,€975/month,"['https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_85b988ab-341e-44a5-b044-34f8a3b8c8a2.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_7469028b-7438-4f1d-bd39-28387658d6cb.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_3e87b8f9-1916-437c-875d-66451b2cdcff.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_19b4bc7a-b218-4c68-be18-3b4c3ca6bf19.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_98cb5be8-7f08-4434-bfb9-be1942d0c4bb.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_ed11fe98-3dbc-49b7-8990-0b1f02c3bb5e.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_2e469245-be89-4740-bbc3-cfd52b496f57.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_58d01494-cf23-4254-beb8-ff17e8c1be15.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_70291527-9387-4c94-b34c-c9ac45646f2b.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_3659c909-32cc-4bb8-94d3-1291cf54b0c0.jpeg']"
1172525,ROOM PROA at CASA SUNA,PRIVATE ROOM · 4 FLATMATES,€750/month,"['https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_4726d6d9-2a97-4b21-b9d2-4e37a1edf859.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_37207872-8b2a-4e9c-b49f-8ba298ddd93f.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_8781f60b-9cb8-4ae8-8cdb-e30c443308c3.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_c744aa3f-6b46-4291-a029-f9d90ed75704.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_0fb3c4fa-a9aa-4ecc-9ca9-21794b240e78.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_e121f982-e0b8-4419-acaf-49a43e4578b8.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_3659c909-32cc-4bb8-94d3-1291cf54b0c0.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_7b06fc26-0791-4346-bd49-a89c27857142.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_11a980ee-409a-46c4-ab5d-f93772f7acba.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_d1649c84-f85a-4a35-9168-93975221869d.jpeg']"
1172519,ROOM NINOT at CASA SUNA,PRIVATE ROOM · 4 FLATMATES,€750/month,"['https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_1ee22265-6f0b-48ba-a8af-f8b36cd61d34.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_2b753319-5dec-4a04-b76b-dc0a50d1cbf9.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_99be736d-38a3-499c-94e1-812f1f025e72.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_932745bb-9ade-4b49-ad97-0bc3d5de63ab.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_68bfbeff-7492-4f5c-a4df-b0e974d1436b.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_4633b04e-c775-4dff-9f43-ff76d3cda680.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_bd9da528-fcce-4d7d-85c0-80d8bd27225a.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_682d0798-396d-4041-abb7-757c6275d4b6.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_11a980ee-409a-46c4-ab5d-f93772f7acba.jpeg', 'https://d1jhx8f0okmpxm.cloudfront.net/uploads/pictures/width_500_d1649c84-f85a-4a35-9168-93975221869d.jpeg']"
